name,group-title,logo-link,link,largura,altura,fps,contagem quadros,tamanho_GB
A Pequena Sereia,Filmes | Animação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/oBFAs9hMdSgHKMvW6VLnh5SOfof.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/2941.mp4,1280,720,23,119130,2.005058
Brincando com Tubarões,Filmes | Documentarios,https://image.tmdb.org/t/p/w600_and_h900_bestv2/bSjLkaugGzwBwf4ecH4btXYWJRc.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/6202.mp4,1280,720,25,136161,1.686836
A Possessão de Deborah Logan,Filmes | Terror,https://image.tmdb.org/t/p/w600_and_h900_bestv2/77i7EBUyQKOUiZeYQ5tWDGQb0AI.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/6468.mp4,1280,696,23,129615,1.673689
A Premonição,Filmes | Suspense,https://image.tmdb.org/t/p/w600_and_h900_bestv2/3r0AKRwCjBEIY33jwMwnNmq9O9U.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/5171.mp4,1280,722,23,143268,2.410257
A Princesa da Rua,Filmes | Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/6ThVL3cod9B09qoOHxRmF0bQfMh.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/4204.mp4,1280,480,23,122649,1.58633
A Princesa e a Plebeia,Filmes | Romance,https://image.tmdb.org/t/p/w600_and_h900_bestv2/mpIZEkNudLQrQO7hwDNTqQphe2l.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/5955.mp4,1280,720,23,146602,2.053369
A Princesa e o Dragão,Filmes | Animação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/eWpbrTpACpLIGUA2RNdVwpwkdd0.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/2944.mp4,1280,694,23,105176,0.686585
A Princesinha das Rosas,Filmes | Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2,http://wateronplay.com:80/movie/Veron23/Veron2023/4205.mp4,720,480,24,140164,0.862821
A Profecia III: O Conflito Final,Filmes | Terror,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ziRicazl5R5LgalKWT8aNjnu7CX.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/6472.mp4,1280,538,23,155840,1.136023
A Proposta,Filmes | Comedia,https://image.tmdb.org/t/p/w600_and_h900_bestv2/p3AKdgueYypcflGdFvo0XyoZvIK.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/3536.mp4,1280,534,23,155053,1.955387
