name,group-title,logo-link,link,largura,altura,fps,contagem quadros,tamanho_GB,ano,tipo,legendado,temporada,episodio,cam,dublado,provedor,generos,date
MacGyver,[Paramount+],https://image.tmdb.org/t/p/w300/pMH3Iu7t0ICOsC5V74IRgO89Bbh.jpg,http://dns.clientetv.net:8080/series/Beckt2/64858265/89229.mp4,1280,720,23,67984,0.660947,,Série,False,6.0,17.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
MacGyver,[Paramount+],https://image.tmdb.org/t/p/w300/cAh8U2QarmAK3Zu61rYw8g3qm6Z.jpg,http://dns.clientetv.net:8080/series/Beckt2/64858265/89150.mp4,1280,720,23,69245,0.673564,,Série,False,2.0,20.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
MacGyver,Séries | Paramount,https://image.tmdb.org/t/p/w600_and_h900_bestv2/19uyypcuMDTXQqgGFJOi2RZidKi.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/196350.mp4,1280,964,23,68850,0.609165,,Série,False,6.0,20.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
MacGyver,[Prime Vídeo],https://image.tmdb.org/t/p/w300/kKpZr1zi6fxTOSMCyPJl2a5gNOH.jpg,http://dns.acaidopara.net:8080/series/igorcerqueira/ic120142750/24155.mp4,1280,720,24,61635,0.615056,,Série,False,3.0,22.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
MacGyver,[Paramount+],https://image.tmdb.org/t/p/w300/tgjJDATchcxnztkmu9rSqN4YxDC.jpg,http://dns.clientetv.net:8080/series/guitv31/Gu102/89166.mp4,1280,720,23,67954,0.66108,,Série,False,3.0,14.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
MacGyver,Séries | Paramount,https://image.tmdb.org/t/p/w600_and_h900_bestv2/jUKMZSbBOu86UnLclxHaHHPSW4K.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/196258.mp4,1280,964,23,66841,0.591556,,Série,False,1.0,10.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
MacGyver,[Paramount+],https://image.tmdb.org/t/p/w300/d0jF9ch421sZIdKo5YN6pyd0KsI.jpg,http://dns.clientetv.net:8080/series/emerson9193/8391930120sme/89164.mp4,1280,720,23,68067,0.662094,,Série,False,3.0,12.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
MacGyver,[Paramount+],https://image.tmdb.org/t/p/w300/tTzpLKVYHDF6Wsa0UPnLs62Llao.jpg,http://dns.clientetv.net:8080/series/emerson9193/8391930120sme/89125.mp4,1280,720,23,67561,0.657356,,Série,False,1.0,17.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
MacGyver,[Prime Vídeo],https://image.tmdb.org/t/p/w600_and_h900_bestv2/9s0d5EUMe31TMWK2VpuyCXibTr1.jpg,http://dns.clientetv.net:8080/series/genildarosa/45nw73hyZ/91407.mp4,1280,720,29,76006,0.592927,,Série,False,5.0,9.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
MacGyver,Séries | Paramount,https://image.tmdb.org/t/p/w600_and_h900_bestv2/iqdNkBkr6Cq7rI0dIpmNjPAIFU.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/196288.mp4,1280,960,23,67140,0.594191,,Série,False,3.0,18.0,False,False,"P, a, r, a, m, o, u, n, t, +,  , A, m, a, z, o, n,  , C, h, a, n, n, e, l",Drama,
